# id	file_path	transparent_color_r	g	b
[TEXTURES]
20	textures\misc.png	116	116	116
0	textures\simon.png	116	116	116
40	textures\titleset4.png	225	225	225
60	textures\obj.png	116	116	116
80	textures\enemy.png	116	116	116
100	textures\UI.png	255	0	255
120	textures\boss.png	116	116	116
[BACKGROUND]
#texture_id map_width map_height map_file titleset_width titleset_height 
40	49	15	textures\titleset4_bg.txt	16	6
# id	left	top	right	bottom	alphaX	alphaY	texture_id
[SPRITES]
#==================SIMON SPRITES===============================
# idle left
40011	1	22	17	52	0	0	0
# idle right
40012	1581	22	1596	52	0	0	0
# walk left
40021	29	22	45	52	0	0	0
40031	46	22	58	52	0	0	0
40041	61	22	78	52	0	0	
# walk right
40022	1553	22	1568	52	0	0	0
40032	1539	22	1552	52	0	0	0
40042	1520	22	1534	52	0	0	0
# duck left
40141	84	22	99	44	0	0	0
# duck right
40142	1498	22	1513	44	0	0	0
# jump left
40051	83	22	100	52	0	0	0
# jump right
40052	1498	22	1516	52	0	0	0
# damaged left
40061	275	23	290	52	0	0	0
# damaged right
40062	1307	23	1322	52	0	0	0
# climp up left
40071	154	21	168	52	0	0	0
40081	170	21	183	52	0	0	0
# climp up right
40072	1429	21	1443	52	0	0	0
40082	1414	21	1426	52	0	0	0
# climp down left
40091	211	21	226	52	0	0	0
40101	228	21	243	52	0	0	0
# climp down right
40102	1415	21	1426	52	0	0	0
40092	1371	21	1386	52	0	0	0
# whip sub left
40111	1	79	24 	108	0	0	0
40121	26	79	41	108	0	0	0
40131	45	79	66	108	7	0	0
# whip sub right
40112	1573	79	1596	108	0	0	0
40122	1553	79	1571	108	5	0	0
40132	1531	79	1552	108	0	0	0
# whip down sub left
40151	147	79	170	101	0	0	0
40161	171	79	190	101	0	0	0
40171	191	79	213	108	0	0	0
# whip down sub right
40152	1427	79	1450	108	0	0	0
40162	1407	79	1426	108	0	0	0
40172	1385	79	1406	108	0	0	0
#==================WHIPS SPRITES===============================
# WHIPS 1 left
41001	0	484	9	509	-14	-5	0
41011	10	482	25	503	-11	-5	0
41021	25	484	51	495	28	-5	0
# WHIPS 1 right
41002	1588	484	1596	509	10	-5	0
41012	1572	482	1586	503	11	-5	0
41022	1546	484	1571	509	-15	-5	0
# WHIPS 2 left
41101	51	484	59	509	-10	-8	0
41111	87	481	103	501	-11	-8	0
41121	181	487	220	493	28	-8	0
# WHIPS 2 right
41102	1537	484	1546	509	10	-8	0
41112	1494	481	1509	501	11	-8	0
41122	1377	487	1416	493	-15	-8	0
#WHIPS 3 left
